"","X","Y"
"2971","ENSG00000114738","MAPKAPK3"
"2972","ENSG00000088538","DOCK3"
"2973","ENSG00000145050","MANF"
"2974","ENSG00000259956","RBM15B"
"2975","ENSG00000145041","DCAF1"
"2976","ENSG00000164080","RAD54L2"
"2977","ENSG00000164081","TEX264"
"2978","ENSG00000164082","GRM2"
"2979","ENSG00000114767","RRP9"
"2980","ENSG00000041880","PARP3"
"2981","ENSG00000090097","PCBP4"
"2982","ENSG00000114779","ABHD14B"
"2983","ENSG00000248487","ABHD14A"
"2984","ENSG00000243989","ACY1"
"2985","ENSG00000162244","RPL29"
"2986","ENSG00000164086","DUSP7"
"2987","ENSG00000164087","POC1A"
"2988","ENSG00000023330","ALAS1"
"2989","ENSG00000247596","TWF2"
"2990","ENSG00000243224",""
"2991","ENSG00000164088","PPM1M"
"2992","ENSG00000164091","WDR82"
"2993","ENSG00000168237","GLYCTK"
"2994","ENSG00000114841","DNAH1"
"2995","ENSG00000163930","BAP1"
"2996","ENSG00000010318","PHF7"
"2997","ENSG00000010319","SEMA3G"
"2998","ENSG00000010322","NISCH"
"2999","ENSG00000168268","NT5DC2"
"3000","ENSG00000168273","SMIM4"
"3001","ENSG00000163939","PBRM1"
"3002","ENSG00000163938","GNL3"
"3003","ENSG00000222345","SNORD19C"
"3004","ENSG00000016864","GLT8D1"
"3005","ENSG00000114902","SPCS1"
"3006","ENSG00000114904","NEK4"
"3007","ENSG00000243696",""
"3008","ENSG00000248592","STIMATE-MUSTN1"
"3009","ENSG00000213533","STIMATE"
"3010","ENSG00000163935","SFMBT1"
"3011","ENSG00000163933","RFT1"
"3012","ENSG00000163932","PRKCD"
"3013","ENSG00000163931","TKT"
"3014","ENSG00000272886","DCP1A"
"3015","ENSG00000016391","CHDH"
"3016","ENSG00000056736","IL17RB"
"3017","ENSG00000271976",""
"3018","ENSG00000113812","ACTR8"
"3019","ENSG00000113811","SELENOK"
"3020","ENSG00000187672","ERC2"
"3021","ENSG00000180376","CCDC66"
"3022","ENSG00000163946","TASOR"
"3023","ENSG00000163947","ARHGEF3"
"3024","ENSG00000144730","IL17RD"
"3025","ENSG00000157500","APPL1"
"3026","ENSG00000239388","ASB14"
"3027","ENSG00000174844","DNAH12"
"3028","ENSG00000174840","PDE12"
"3029","ENSG00000168374","ARF4"
"3030","ENSG00000174839","DENND6A"
"3031","ENSG00000163681","SLMAP"
"3032","ENSG00000136068","FLNB"
"3033","ENSG00000244161","FLNB-AS1"
"3034","ENSG00000163686","ABHD6"
"3035","ENSG00000163684","RPP14"
"3036","ENSG00000168297","PXK"
"3037","ENSG00000168291","PDHB"
"3038","ENSG00000168301","KCTD6"
"3039","ENSG00000168306","ACOX2"
"3040","ENSG00000163689","C3orf67"
"3041","ENSG00000189283","FHIT"
"3042","ENSG00000144724","PTPRG"
"3043","ENSG00000226360","RPL10AP6"
"3044","ENSG00000241472","PTPRG-AS1"
"3045","ENSG00000114405","C3orf14"
"3046","ENSG00000163634","THOC7"
"3047","ENSG00000163635","ATXN7"
"3048","ENSG00000239653","PSMD6-AS2"
"3049","ENSG00000271843",""
"3050","ENSG00000163636","PSMD6"
"3051","ENSG00000163637","PRICKLE2"
"3052","ENSG00000163638","ADAMTS9"
"3053","ENSG00000151276","MAGI1"
"3054","ENSG00000144741","SLC25A26"
"3055","ENSG00000144749","LRIG1"
"3056","ENSG00000172340","SUCLG2"
"3057","ENSG00000241316","SUCLG2-AS1"
"3058","ENSG00000241506","PSMC1P1"
"3059","ENSG00000163378","EOGT"
"3060","ENSG00000244513",""
"3061","ENSG00000144747","TMF1"
"3062","ENSG00000144744","UBA3"
"3063","ENSG00000144746","ARL6IP5"
"3064","ENSG00000114541","FRMD4B"
"3065","ENSG00000187098","MITF"
"3066","ENSG00000114861","FOXP1"
"3067","ENSG00000270562",""
"3068","ENSG00000163412","EIF4E3"
"3069","ENSG00000163602","RYBP"
"3070","ENSG00000144736","SHQ1"
"3071","ENSG00000172986","GXYLT2"
"3072","ENSG00000242960","FTH1P23"
"3073","ENSG00000163605","PPP4R2"
"3074","ENSG00000255423","EBLN2"
"3075","ENSG00000213300","HNRNPA3P6"
"3076","ENSG00000179799","OR7E22P"
"3077","ENSG00000244026","FAM86DP"
"3078","ENSG00000272690","LINC02018"
"3079","ENSG00000242516","LINC00960"
"3080","ENSG00000227124","ZNF717"
"3081","ENSG00000240809",""
"3082","ENSG00000169855","ROBO1"
"3083","ENSG00000114480","GBE1"
"3084","ENSG00000206538","VGLL3"
"3085","ENSG00000083937","CHMP2B"
"3086","ENSG00000163320","CGGBP1"
"3087",NA,NA
"3088","ENSG00000175105","ZNF654"
"3089","ENSG00000179021","C3orf38"
"3090","ENSG00000184500","PROS1"
"3091","ENSG00000169379","ARL13B"
"3092","ENSG00000178700","DHFR2"
"3093","ENSG00000178694","NSUN3"
"3094","ENSG00000243547","HNRNPKP4"
"3095","ENSG00000269028","MTRNR2L12"
"3096","ENSG00000113966","ARL6"
"3097","ENSG00000080200","CRYBG3"
"3098","ENSG00000170854","RIOX2"
"3099","ENSG00000080822","CLDND1"
"3100","ENSG00000080819","CPOX"
"3101","ENSG00000154165","GPR15"
"3102","ENSG00000239445","ST3GAL6-AS1"
"3103","ENSG00000064225","ST3GAL6"
"3104","ENSG00000249274","PDLIM1P4"
"3105","ENSG00000057019","DCBLD2"
"3106","ENSG00000239462",""
"3107","ENSG00000240476","LINC00973"
"3108","ENSG00000144810","COL8A1"
"3109","ENSG00000273374",""
"3110","ENSG00000184220","CMSS1"
"3111","ENSG00000168386","FILIP1L"
"3112",NA,NA
"3113","ENSG00000036054","TBC1D23"
"3114","ENSG00000114021","NIT2"
"3115","ENSG00000154174","TOMM70"
"3116","ENSG00000206535","LNP1"
"3117","ENSG00000181458","TMEM45A"
"3118","ENSG00000114354","TFG"
"3119","ENSG00000154175","ABI3BP"
"3120","ENSG00000081148","IMPG2"
"3121","ENSG00000138468","SENP7"
"3122","ENSG00000174173","TRMT10C"
"3123","ENSG00000081154","PCNP"
"3124","ENSG00000242299",""
"3125","ENSG00000066422","ZBTB11"
"3126","ENSG00000256628","ZBTB11-AS1"
"3127","ENSG00000114391","RPL24"
"3128","ENSG00000244119","PDCL3P4"
"3129","ENSG00000182504","CEP97"
"3130","ENSG00000144815","NXPE3"
"3131","ENSG00000144802","NFKBIZ"
"3132","ENSG00000241280",""
"3133","ENSG00000170017","ALCAM"
"3134","ENSG00000114423","CBLB"
"3135","ENSG00000243701","DUBR"
"3136","ENSG00000114439","BBX"
"3137","ENSG00000196776","CD47"
"3138","ENSG00000114446","IFT57"
"3139","ENSG00000144821","MYH15"
"3140","ENSG00000241634",""
"3141","ENSG00000163507","CIP2A"
"3142","ENSG00000198919","DZIP3"
"3143","ENSG00000177707","NECTIN3"
"3144","ENSG00000240891","PLCXD2"
"3145","ENSG00000144824","PHLDB2"
"3146","ENSG00000144827","ABHD10"
"3147","ENSG00000114529","C3orf52"
"3148","ENSG00000174500","GCSAM"
"3149","ENSG00000261488","TBILA"
"3150","ENSG00000144848","ATG3"
"3151","ENSG00000138459","SLC35A5"
"3152","ENSG00000091986","CCDC80"
"3153","ENSG00000163607","GTPBP8"
"3154","ENSG00000163608","NEPRO"
"3155","ENSG00000144857","BOC"
"3156","ENSG00000206530","CFAP44"
"3157","ENSG00000163611","SPICE1"
"3158","ENSG00000072858","SIDT1"
"3159","ENSG00000176542","USF3"
"3160","ENSG00000121579","NAA50"
"3161","ENSG00000114573","ATP6V1A"
"3162","ENSG00000178075","GRAMD1C"
"3163","ENSG00000184307","ZDHHC23"
"3164","ENSG00000163617","CCDC191"
"3165","ENSG00000151576","QTRT2"
"3166","ENSG00000259976",""
"3167","ENSG00000181722","ZBTB20"
"3168","ENSG00000198406","BZW1P2"
"3169","ENSG00000121578","B4GALT4"
"3170","ENSG00000031081","ARHGAP31"
"3171","ENSG00000176142","TMEM39A"
"3172","ENSG00000163389","POGLUT1"
"3173","ENSG00000113845","TIMMDC1"
"3174","ENSG00000144843","ADPRH"
"3175","ENSG00000138495","COX17"
"3176","ENSG00000082701","GSK3B"
"3177","ENSG00000242622",""
"3178","ENSG00000175697","GPR156"
"3179","ENSG00000163428","LRRC58"
"3180","ENSG00000240661",""
"3181","ENSG00000163430","FSTL1"
"3182","ENSG00000065518","NDUFB4"
"3183","ENSG00000144840","RABL3"
"3184","ENSG00000153767","GTF2E1"
"3185","ENSG00000213371","NAP1L1P3"
"3186","ENSG00000051341","POLQ"
"3187","ENSG00000242445","RPL7AP11"
"3188","ENSG00000180353","HCLS1"
"3189","ENSG00000173230","GOLGB1"
"3190","ENSG00000173226","IQCB1"
"3191","ENSG00000145088","EAF2"
"3192","ENSG00000160124","CCDC58"
"3193","ENSG00000114023","FAM162A"
"3194","ENSG00000196981","WDR5B"
"3195","ENSG00000272758",""
"3196","ENSG00000114030","KPNA1"
"3197","ENSG00000138496","PARP9"
"3198","ENSG00000163840","DTX3L"
"3199","ENSG00000173200","PARP15"
"3200","ENSG00000173193","PARP14"
"3201","ENSG00000169087","HSPBAP1"
"3202","ENSG00000138463","SLC49A4"
"3203","ENSG00000273033","LINC02035"
"3204","ENSG00000065485","PDIA5"
"3205","ENSG00000121542","SEC22A"
"3206","ENSG00000206527","HACD2"
"3207","ENSG00000239523","MYLK-AS1"
"3208","ENSG00000065534","MYLK"
"3209","ENSG00000175455","CCDC14"
"3210","ENSG00000160145","KALRN"
"3211","ENSG00000114491","UMPS"
"3212","ENSG00000082781","ITGB5"
"3213","ENSG00000173706","HEG1"
"3214","ENSG00000221955","SLC12A8"
"3215","ENSG00000163848","ZNF148"
"3216","ENSG00000114520","SNX4"
"3217","ENSG00000144909","OSBPL11"
"3218","ENSG00000241288","LINC02614"
"3219","ENSG00000171084","FAM86JP"
"3220","ENSG00000114544","SLC41A3"
"3221","ENSG00000144908","ALDH1L1"
"3222","ENSG00000163884","KLF15"
"3223","ENSG00000070476","ZXDC"
"3224","ENSG00000197763","TXNRD3"
"3225","ENSG00000159685","CHCHD6"
"3226","ENSG00000114554","PLXNA1"
"3227","ENSG00000282860",""
"3228","ENSG00000163870","TPRA1"
"3229","ENSG00000073111","MCM2"
"3230","ENSG00000114631","PODXL2"
"3231","ENSG00000114626","ABTB1"
"3232","ENSG00000074416","MGLL"
"3233","ENSG00000058262","SEC61A1"
"3234","ENSG00000175792","RUVBL1"
"3235","ENSG00000132394","EEFSEC"
"3236","ENSG00000179348","GATA2"
"3237","ENSG00000244300","GATA2-AS1"
"3238","ENSG00000163902","RPN1"
"3239","ENSG00000075785","RAB7A"
"3240","ENSG00000261159",""
"3241","ENSG00000231305",""
"3242","ENSG00000177646","ACAD9"
"3243","ENSG00000172780","RAB43"
"3244","ENSG00000240682","ISY1"
"3245","ENSG00000169714","CNBP"
"3246","ENSG00000181789","COPG1"
"3247","ENSG00000183624","HMCES"
"3248","ENSG00000184897","H1FX"
"3249","ENSG00000206417","H1FX-AS1"
"3250","ENSG00000244932",""
"3251","ENSG00000251474","RPL32P3"
"3252","ENSG00000129071","MBD4"
"3253","ENSG00000163913","IFT122"
"3254","ENSG00000004399","PLXND1"
"3255","ENSG00000172765","TMCC1"
"3256","ENSG00000203644",""
"3257","ENSG00000271270","TMCC1-AS1"
"3258","ENSG00000253540","FAM86HP"
"3259","ENSG00000196455","PIK3R4"
"3260","ENSG00000017260","ATP2C1"
"3261","ENSG00000034533","ASTE1"
"3262","ENSG00000114670","NEK11"
"3263","ENSG00000250608",""
"3264","ENSG00000246082","NUDT16P1"
"3265","ENSG00000198585","NUDT16"
"3266","ENSG00000261167",""
"3267","ENSG00000114686","MRPL3"
"3268","ENSG00000240854",""
"3269","ENSG00000138246","DNAJC13"
"3270","ENSG00000081307","UBA5"
"3271","ENSG00000113971","NPHP3"
"3272","ENSG00000091527","CDV3"
"3273","ENSG00000163781","TOPBP1"
"3274","ENSG00000144867","SRPRB"
"3275","ENSG00000154917","RAB6B"
"3276","ENSG00000163785","RYK"
"3277","ENSG00000260633",""
"3278","ENSG00000114019","AMOTL2"
"3279","ENSG00000129055","ANAPC13"
"3280","ENSG00000182923","CEP63"
"3281","ENSG00000073711","PPP2R3A"
"3282","ENSG00000174579","MSL2"
"3283","ENSG00000114054","PCCB"
"3284","ENSG00000118007","STAG1"
"3285","ENSG00000168917","SLC35G2"
"3286","ENSG00000273486",""
"3287","ENSG00000239213","NCK1-DT"
"3288","ENSG00000158092","NCK1"
"3289","ENSG00000174564","IL20RB"
"3290","ENSG00000241478","HSPA8P9"
"3291","ENSG00000158163","DZIP1L"
"3292","ENSG00000138231","DBR1"
"3293","ENSG00000114098","ARMC8"
"3294","ENSG00000158186","MRAS"
"3295","ENSG00000158220","ESYT3"
"3296","ENSG00000280399",""
"3297","ENSG00000114107","CEP70"
"3298","ENSG00000158234","FAIM"
"3299","ENSG00000051382","PIK3CB"
"3300","ENSG00000175110","MRPS22"
"3301","ENSG00000184432","COPB2"
"3302","ENSG00000248932",""
"3303","ENSG00000163864","NMNAT3"
"3304","ENSG00000114120","SLC25A36"
"3305","ENSG00000155893","PXYLP1"
"3306","ENSG00000177311","ZBTB38"
"3307","ENSG00000155903","RASA2"
"3308","ENSG00000114125","RNF7"
"3309","ENSG00000069849","ATP1B3"
"3310","ENSG00000114126","TFDP2"
"3311","ENSG00000175066","GK5"
"3312","ENSG00000114127","XRN1"
"3313","ENSG00000175054","ATR"
"3314","ENSG00000120756","PLS1"
"3315","ENSG00000144935","TRPC1"
"3316","ENSG00000163710","PCOLCE2"
"3317","ENSG00000163714","U2SURP"
"3318","ENSG00000175040","CHST2"
"3319","ENSG00000181804","SLC9A9"
"3320","ENSG00000181744","DIPK2A"
"3321","ENSG00000261051",""
"3322","ENSG00000240032","LNCSRLR"
"3323","ENSG00000152952","PLOD2"
"3324","ENSG00000114698","PLSCR4"
"3325","ENSG00000188313","PLSCR1"
"3326","ENSG00000241627","UBQLN4P1"
"3327","ENSG00000163754","GYG1"
"3328","ENSG00000071794","HLTF"
"3329","ENSG00000163755","HPS3"
"3330","ENSG00000169908","TM4SF1"
"3331","ENSG00000018408","WWTR1"
"3332","ENSG00000114744","COMMD2"
"3333","ENSG00000082996","RNF13"
"3334","ENSG00000070087","PFN2"
"3335","ENSG00000196428","TSC22D2"
"3336","ENSG00000120742","SERP1"
"3337","ENSG00000144895","EIF2A"
"3338","ENSG00000198843","SELENOT"
"3339","ENSG00000181788","SIAH2"
"3340","ENSG00000144893","MED12L"
"3341","ENSG00000138271","GPR87"
"3342","ENSG00000152601","MBNL1"
"3343","ENSG00000229619","MBNL1-AS1"
"3344","ENSG00000169860","P2RY1"
"3345","ENSG00000181467","RAP2B"
"3346","ENSG00000114790","ARHGEF26"
"3347","ENSG00000174953","DHX36"
"3348","ENSG00000114805","PLCH1"
"3349","ENSG00000174928","C3orf33"
"3350","ENSG00000169359","SLC33A1"
"3351","ENSG00000163655","GMPS"
"3352","ENSG00000240489","SETP14"
"3353","ENSG00000169282","KCNAB1"
"3354","ENSG00000272990",""
"3355","ENSG00000114850","SSR3"
"3356","ENSG00000243926","TIPARP-AS1"
"3357","ENSG00000163659","TIPARP"
"3358","ENSG00000240875","LINC00886"
"3359","ENSG00000230457","PA2G4P4"
"3360","ENSG00000197980","LEKR1"
"3361","ENSG00000243629","LINC00880"
"3362","ENSG00000241544","LINC02029"
"3363","ENSG00000163660","CCNL1"
"3364","ENSG00000197415","VEPH1"
"3365","ENSG00000163661","PTX3"
"3366","ENSG00000174899","SLC66A1L"
"3367","ENSG00000168779","SHOX2"
"3368","ENSG00000174891","RSRC1"
"3369","ENSG00000178053","MLF1"
"3370","ENSG00000168827","GFM1"
"3371","ENSG00000079257","LXN"
"3372","ENSG00000272087",""
"3373","ENSG00000118855","MFSD1"
"3374","ENSG00000240207",""
"3375",NA,NA
"3376","ENSG00000151967","SCHIP1"
"3377","ENSG00000168811","IL12A"
"3378","ENSG00000184100","BRD7P2"
"3379","ENSG00000180044","C3orf80"
"3380","ENSG00000068885","IFT80"
"3381","ENSG00000113810","SMC4"
"3382","ENSG00000213186","TRIM59"
"3383","ENSG00000186432","KPNA4"
"3384","ENSG00000229320","KRT8P12"
"3385","ENSG00000163590","PPM1L"
"3386","ENSG00000169255","B3GALNT1"
"3387","ENSG00000169251","NMD3"
"3388","ENSG00000114209","PDCD10"
"3389","ENSG00000163536","SERPINI1"
"3390","ENSG00000173905","GOLIM4"
"3391","ENSG00000206120","EGFEM1P"
"3392","ENSG00000085276","MECOM"
"3393","ENSG00000184378","ACTRT3"
"3394","ENSG00000085274","MYNN"
"3395","ENSG00000269984",""
"3396","ENSG00000171757","LRRC34"
"3397","ENSG00000008952","SEC62"
"3398","ENSG00000173890","GPR160"
"3399","ENSG00000173889","PHC3"
"3400","ENSG00000163558","PRKCI"
"3401","ENSG00000136603","SKIL"
"3402","ENSG00000013297","CLDN11"
"3403","ENSG00000241416","KRT8P13"
"3404","ENSG00000163584","RPL22L1"
"3405","ENSG00000163577","EIF5A2"
"3406","ENSG00000154310","TNIK"
"3407","ENSG00000279673",""
"3408","ENSG00000075651","PLD1"
"3409","ENSG00000075420","FNDC3B"
"3410","ENSG00000121858","TNFSF10"
"3411","ENSG00000144959","NCEH1"
"3412","ENSG00000114346","ECT2"
"3413","ENSG00000227440","ATP5MC1P4"
"3414","ENSG00000169760","NLGN1"
"3415","ENSG00000177694","NAALADL2"
"3416","ENSG00000177565","TBL1XR1"
"3417","ENSG00000172667","ZMAT3"
"3418","ENSG00000121879","PIK3CA"
"3419","ENSG00000171121","KCNMB3"
"3420","ENSG00000240429","LRRFIP1P1"
"3421","ENSG00000121864","ZNF639"
"3422","ENSG00000171109","MFN1"
"3423","ENSG00000114450","GNB4"
"3424","ENSG00000136518","ACTL6A"
"3425","ENSG00000136522","MRPL47"
"3426","ENSG00000136521","NDUFB5"
"3427","ENSG00000058056","USP13"
"3428","ENSG00000114757","PEX5L"
"3429","ENSG00000163728","TTC14"
"3430","ENSG00000145075","CCDC39"
"3431","ENSG00000114416","FXR1"
"3432","ENSG00000205981","DNAJC19"
"3433","ENSG00000181449","SOX2"
"3434","ENSG00000058063","ATP11B"
"3435","ENSG00000043093","DCUN1D1"
"3436","ENSG00000078070","MCCC1"
"3437","ENSG00000078081","LAMP3"
"3438","ENSG00000053524","MCF2L2"
"3439","ENSG00000176597","B3GNT5"
"3440","ENSG00000240024","LINC00888"
"3441","ENSG00000114796","KLHL24"
"3442","ENSG00000163872","YEATS2"
"3443","ENSG00000233885","YEATS2-AS1"
"3444","ENSG00000180834","MAP6D1"
"3445","ENSG00000175193","PARL"
"3446","ENSG00000114770","ABCC5"
"3447","ENSG00000223529","EEF1A1P8"
"3448","ENSG00000145191","EIF2B5"
"3449","ENSG00000228205",""
"3450","ENSG00000161202","DVL3"
"3451","ENSG00000161203","AP2M1"
"3452","ENSG00000161204","ABCF3"
"3453","ENSG00000214160","ALG3"
"3454","ENSG00000145194","ECE2"
"3455","ENSG00000163888","CAMK2N2"
"3456","ENSG00000175166","PSMD2"
"3457","ENSG00000114867","EIF4G1"
"3458","ENSG00000175182","FAM131A"
"3459","ENSG00000114859","CLCN2"
"3460","ENSG00000163882","POLR2H"
"3461","ENSG00000182580","EPHB3"
"3462","ENSG00000177383","MAGEF1"
"3463","ENSG00000156931","VPS8"
"3464","ENSG00000187068","C3orf70"
"3465","ENSG00000113790","EHHADH"
"3466","ENSG00000073803","MAP3K13"
"3467","ENSG00000229638","RPL4P4"
"3468","ENSG00000163900","TMEM41A"
"3469","ENSG00000163898","LIPH"
"3470","ENSG00000163904","SENP2"
"3471","ENSG00000073792","IGF2BP2"
"3472","ENSG00000136527","TRA2B"
"3473","ENSG00000171658","NMRAL2P"
"3474","ENSG00000244405","ETV5"
"3475","ENSG00000213139","CRYGS"
"3476","ENSG00000113838","TBCCD1"
"3477","ENSG00000090520","DNAJB11"
"3478","ENSG00000226652","PSMD10P2"
"3479","ENSG00000263826",""
"3480","ENSG00000156976","EIF4A2"
"3481","ENSG00000163918","RFC4"
"3482","ENSG00000073849","ST6GAL1"
"3483","ENSG00000163923","RPL39L"
"3484","ENSG00000136514","RTP4"
"3485","ENSG00000113916","BCL6"
"3486","ENSG00000270959","LPP-AS2"
"3487","ENSG00000145012","LPP"
"3488","ENSG00000188001","TPRG1"
"3489","ENSG00000073282","TP63"
"3490","ENSG00000090530","P3H2"
"3491","ENSG00000163347","CLDN1"
"3492","ENSG00000196083","IL1RAP"
"3493","ENSG00000152492","CCDC50"
"3494","ENSG00000180611","MB21D2"
"3495","ENSG00000127252","PLAAT1"
"3496","ENSG00000198836","OPA1"
"3497","ENSG00000114315","HES1"
"3498","ENSG00000172061","LRRC15"
"3499","ENSG00000133657","ATP13A3"
"3500","ENSG00000233058","LINC00884"
"3501","ENSG00000231770","TMEM44-AS1"
"3502","ENSG00000145014","TMEM44"
"3503","ENSG00000229334",""
"3504","ENSG00000041802","LSG1"
"3505","ENSG00000185112","FAM43A"
"3506","ENSG00000234805",""
"3507","ENSG00000173950","XXYLT1"
"3508","ENSG00000114331","ACAP2"
"3509","ENSG00000229325","ACAP2-IT1"
"3510","ENSG00000184203","PPP1R2"
"3511","ENSG00000242086","MUC20-OT1"
"3512","ENSG00000061938","TNK2"
"3513","ENSG00000260261",""
"3514","ENSG00000185485","SDHAP1"
"3515","ENSG00000072274","TFRC"
"3516","ENSG00000163959","SLC51A"
"3517","ENSG00000161217","PCYT1A"
"3518","ENSG00000213123","TCTEX1D2"
"3519","ENSG00000235897","TM4SF19-AS1"
"3520","ENSG00000145107","TM4SF19"
"3521","ENSG00000163960","UBXN7"
"3522","ENSG00000163961","RNF168"
"3523","ENSG00000185798","WDR53"
"3524","ENSG00000174013","FBXO45"
"3525","ENSG00000174004","NRROS"
"3526","ENSG00000163964","PIGX"
"3527","ENSG00000174007","CEP19"
"3528","ENSG00000180370","PAK2"
"3529","ENSG00000119231","SENP5"
"3530","ENSG00000230732",""
"3531","ENSG00000114503","NCBP2"
"3532","ENSG00000270170","NCBP2AS2"
"3533","ENSG00000119227","PIGZ"
"3534","ENSG00000163975","MELTF"
"3535","ENSG00000228109","MELTF-AS1"
"3536","ENSG00000075711","DLG1"
"3537","ENSG00000227375","DLG1-AS1"
"3538","ENSG00000161267","BDH1"
"3539","ENSG00000214135",""
"3540","ENSG00000145016","RUBCN"
"3541","ENSG00000122068","FYTTD1"
"3542","ENSG00000186001","LRCH3"
"3543","ENSG00000114473","IQCG"
"3544","ENSG00000182899","RPL35A"
"3545","ENSG00000185621","LMLN"
"3546","ENSG00000272602","ZNF595"
"3547","ENSG00000250312","ZNF718"
"3548",NA,NA
"3549","ENSG00000250892",""
"3550","ENSG00000198155","ZNF876P"
"3551","ENSG00000131127","ZNF141"
"3552","ENSG00000251595","ABCA11P"
"3553","ENSG00000182903","ZNF721"
"3554","ENSG00000174227","PIGG"
"3555","ENSG00000169020","ATP5ME"
"3556","ENSG00000215375","MYL5"
"3557","ENSG00000169026","SLC49A3"
"3558","ENSG00000185619","PCGF3"
"3559","ENSG00000249592",""
"3560","ENSG00000178950","GAK"
"3561","ENSG00000127419","TMEM175"
"3562","ENSG00000145214","DGKQ"
"3563","ENSG00000145217","SLC26A1"
"3564","ENSG00000127415","IDUA"
"3565","ENSG00000127418","FGFRL1"
"3566","ENSG00000159674","SPON2"
"3567","ENSG00000280927","CTBP1-AS"
"3568","ENSG00000159692","CTBP1"
"3569","ENSG00000196810","CTBP1-DT"
"3570","ENSG00000090316","MAEA"
"3571","ENSG00000163945","UVSSA"
"3572",NA,NA
"3573","ENSG00000174137","FAM53A"
"3574","ENSG00000163950","SLBP"
"3575","ENSG00000270195",""
"3576","ENSG00000168936","TMEM129"
"3577","ENSG00000013810","TACC3"
"3578","ENSG00000068078","FGFR3"
"3579","ENSG00000168924","LETM1"
"3580","ENSG00000109685","NSD2"
"3581","ENSG00000249784","SCARNA22"
"3582","ENSG00000185049","NELFA"
"3583","ENSG00000243449","C4orf48"
"3584","ENSG00000185818","NAT8L"
"3585","ENSG00000130997","POLN"
"3586","ENSG00000214367","HAUS3"
"3587","ENSG00000123933","MXD4"
"3588","ENSG00000159733","ZFYVE28"
"3589","ENSG00000063978","RNF4"
"3590","ENSG00000125386","FAM193A"
"3591","ENSG00000168884","TNIP2"
"3592","ENSG00000087266","SH3BP2"
"3593","ENSG00000087274","ADD1"
"3594","ENSG00000109736","MFSD10"
"3595","ENSG00000249673","NOP14-AS1"
"3596","ENSG00000087269","NOP14"
"3597","ENSG00000125388","GRK4"
"3598","ENSG00000197386","HTT"
"3599","ENSG00000159788","RGS12"
"3600",NA,NA
"3601","ENSG00000163956","LRPAP1"
"3602","ENSG00000251669","FAM86EP"
"3603","ENSG00000132406","TMEM128"
"3604","ENSG00000145220","LYAR"
"3605","ENSG00000168826","ZBTB49"
"3606","ENSG00000168818","STX18"
"3607","ENSG00000247708","STX18-AS1"
"3608","ENSG00000173040","EVC2"
"3609","ENSG00000072840","EVC"
"3610","ENSG00000072832","CRMP1"
"3611","ENSG00000109501","WFS1"
"3612","ENSG00000074211","PPP2R2C"
"3613","ENSG00000013288","MAN2B2"
"3614","ENSG00000179010","MRFAP1"
"3615","ENSG00000251580","LINC02482"
"3616","ENSG00000170846",""
"3617","ENSG00000163993","S100P"
"3618","ENSG00000178988","MRFAP1L1"
"3619","ENSG00000186222","BLOC1S4"
"3620","ENSG00000170871","KIAA0232"
"3621","ENSG00000132405","TBC1D14"
"3622","ENSG00000245748",""
"3623","ENSG00000173013","CCDC96"
"3624","ENSG00000173011","TADA2B"
"3625","ENSG00000109519","GRPEL1"
"3626","ENSG00000184985","SORCS2"
"3627","ENSG00000272620","AFAP1-AS1"
"3628","ENSG00000196526","AFAP1"
"3629","ENSG00000125089","SH3TC1"
"3630","ENSG00000170801","HTRA3"
"3631","ENSG00000251615",""
"3632","ENSG00000087008","ACOX3"
"3633","ENSG00000155275","TRMT44"
"3634","ENSG00000261490",""
"3635","ENSG00000071127","WDR1"
"3636","ENSG00000178163","ZNF518B"
"3637","ENSG00000002587","HS3ST1"
"3638","ENSG00000205940","HSP90AB2P"
"3639","ENSG00000157869","RAB28"
"3640","ENSG00000109705","NKX3-2"
"3641","ENSG00000038219","BOD1L1"
"3642","ENSG00000248698","LINC01085"
"3643","ENSG00000137449","CPEB2"
"3644","ENSG00000048342","CC2D2A"
"3645","ENSG00000118564","FBXL5"
"3646","ENSG00000237765","FAM200B"
"3647","ENSG00000109743","BST1"
"3648","ENSG00000004468","CD38"
"3649","ENSG00000169762","TAPT1"
"3650","ENSG00000263327","TAPT1-AS1"
"3651","ENSG00000151552","QDPR"
"3652","ENSG00000002549","LAP3"
"3653","ENSG00000118579","MED28"
"3654","ENSG00000163257","DCAF16"
"3655","ENSG00000109805","NCAPG"
"3656","ENSG00000178177","LCORL"
"3657","ENSG00000145147","SLIT2"
"3658","ENSG00000163138","PACRGL"
"3659","ENSG00000185774","KCNIP4"
"3660","ENSG00000152990","ADGRA3"
"3661","ENSG00000237350","CDC42P6"
"3662","ENSG00000109819","PPARGC1A"
"3663","ENSG00000109606","DHX15"
"3664","ENSG00000109610","SOD3"
"3665","ENSG00000181982","CCDC149"
"3666","ENSG00000109618","SEPSECS"
"3667","ENSG00000281501","SEPSECS-AS1"
"3668","ENSG00000038210","PI4K2B"
"3669","ENSG00000168228","ZCCHC4"
"3670","ENSG00000053900","ANAPC4"
"3671","ENSG00000091490","SEL1L3"
"3672","ENSG00000250317","SMIM20"
"3673","ENSG00000168214","RBPJ"
"3674","ENSG00000109680","TBC1D19"
"3675","ENSG00000109689","STIM2"
"3676","ENSG00000169851","PCDH7"
"3677","ENSG00000047365","ARAP2"
