"","X","Y"
"174","ENSG00000224321","RPL12P14"
"175","ENSG00000233954","UQCRHL"
"176","ENSG00000178715",""
"177","ENSG00000179743",""
"178","ENSG00000065526","SPEN"
"179","ENSG00000116809","ZBTB17"
"180","ENSG00000142627","EPHA2"
"181","ENSG00000227959",""
"182","ENSG00000224621",""
"183","ENSG00000142632","ARHGEF19"
"184","ENSG00000237276","ANO7L1"
"185","ENSG00000132881","CPLANE2"
"186","ENSG00000037637","FBXO42"
"187","ENSG00000055070","SZRD1"
"188","ENSG00000157191","NECAP2"
"189","ENSG00000226029","LINC01772"
"190","ENSG00000080947","CROCCP3"
"191","ENSG00000219481","NBPF1"
"192","ENSG00000215908","CROCCP2"
"193","ENSG00000236698","EIF1AXP1"
"194","ENSG00000058453","CROCC"
"195","ENSG00000238142",""
"196","ENSG00000117122","MFAP2"
"197","ENSG00000159363","ATP13A2"
"198","ENSG00000117118","SDHB"
"199","ENSG00000204362","LINC02783"
"200","ENSG00000142623","PADI1"
"201","ENSG00000179051","RCC2"
"202","ENSG00000074964","ARHGEF10L"
"203","ENSG00000159423","ALDH4A1"
"204","ENSG00000169991","IFFO2"
"205","ENSG00000272084",""
"206","ENSG00000127481","UBR4"
"207","ENSG00000127463","EMC1"
"208","ENSG00000053372","MRTO4"
"209","ENSG00000211454","AKR7L"
"210","ENSG00000162482","AKR7A3"
"211","ENSG00000270728",""
"212","ENSG00000053371","AKR7A2"
"213","ENSG00000040487","SLC66A1"
"214","ENSG00000077549","CAPZB"
"215","ENSG00000173436","MICOS10"
"216","ENSG00000226396",""
"217","ENSG00000158747","NBL1"
"218","ENSG00000162542","TMCO4"
"219","ENSG00000169914","OTUD3"
"220","ENSG00000227066",""
"221","ENSG00000162545","CAMK2N1"
"222","ENSG00000090432","MUL1"
"223","ENSG00000158825","CDA"
"224","ENSG00000158828","PINK1"
"225","ENSG00000117242","PINK1-AS"
"226","ENSG00000244038","DDOST"
"227","ENSG00000117245","KIF17"
"228","ENSG00000189410","SH2D5"
"229","ENSG00000127483","HP1BP3"
"230","ENSG00000075151","EIF4G3"
"231","ENSG00000117298","ECE1"
"232","ENSG00000142794","NBPF3"
"233","ENSG00000076864","RAP1GAP"
"234","ENSG00000090686","USP48"
"235","ENSG00000142798","HSPG2"
"236","ENSG00000218510","LINC00339"
"237","ENSG00000070831","CDC42"
"238","ENSG00000184677","ZBTB40"
"239","ENSG00000133216","EPHB2"
"240","ENSG00000004487","KDM1A"
"241","ENSG00000169641","LUZP1"
"242","ENSG00000179546","HTR1D"
"243","ENSG00000261326","LINC01355"
"244","ENSG00000125944","HNRNPR"
"245","ENSG00000125945","ZNF436"
"246","ENSG00000249087","ZNF436-AS1"
"247","ENSG00000204219","TCEA3"
"248","ENSG00000088280","ASAP3"
"249","ENSG00000007968","E2F2"
"250","ENSG00000117318","ID3"
"251","ENSG00000142676","RPL11"
"252","ENSG00000011007","ELOA"
"253","ENSG00000236810","ELOA-AS1"
"254","ENSG00000057757","PITHD1"
"255","ENSG00000011009","LYPLA2"
"256","ENSG00000117308","GALE"
"257","ENSG00000117305","HMGCL"
"258","ENSG00000179163","FUCA1"
"259","ENSG00000189266","PNRC2"
"260","ENSG00000188529","SRSF10"
"261","ENSG00000142677","IL22RA1"
"262","ENSG00000185436","IFNLR1"
"263","ENSG00000001460","STPG1"
"264","ENSG00000001461","NIPAL3"
"265","ENSG00000117602","RCAN3"
"266","ENSG00000133226","SRRM1"
"267","ENSG00000169504","CLIC4"
"268","ENSG00000117614","SYF2"
"269","ENSG00000117616","RSRP1"
"270","ENSG00000183726","TMEM50A"
"271","ENSG00000204178","MACO1"
"272","ENSG00000157978","LDLRAP1"
"273","ENSG00000117643","MAN1C1"
"274","ENSG00000162430","SELENON"
"275","ENSG00000228172",""
"276","ENSG00000117640","MTFR1L"
"277","ENSG00000127423","AUNIP"
"278","ENSG00000182749","PAQR7"
"279","ENSG00000117632","STMN1"
"280","ENSG00000158006","PAFAH2"
"281","ENSG00000158022","TRIM63"
"282","ENSG00000175087","PDIK1L"
"283","ENSG00000142684","ZNF593"
"284","ENSG00000142675","CNKSR1"
"285","ENSG00000130695","CEP85"
"286","ENSG00000142669","SH3BGRL3"
"287","ENSG00000158062","UBXN11"
"288","ENSG00000176092","CRYBG2"
"289","ENSG00000117682","DHDDS"
"290","ENSG00000198830","HMGN2"
"291","ENSG00000117676","RPS6KA1"
"292","ENSG00000260063",""
"293","ENSG00000117713","ARID1A"
"294","ENSG00000060642","PIGV"
"295","ENSG00000204160","ZDHHC18"
"296","ENSG00000175793","SFN"
"297","ENSG00000142751","GPN2"
"298","ENSG00000198746","GPATCH3"
"299","ENSG00000090273","NUDC"
"300","ENSG00000253368","TRNP1"
"301","ENSG00000158246","TENT5B"
"302","ENSG00000090020","SLC9A1"
"303","ENSG00000142784","WDTC1"
"304","ENSG00000186501","TMEM222"
"305","ENSG00000241547","ACTG1P20"
"306","ENSG00000142765","SYTL1"
"307","ENSG00000142733","MAP3K6"
"308","ENSG00000181773","GPR3"
"309","ENSG00000158195","WASF2"
"310","ENSG00000126705","AHDC1"
"311","ENSG00000235912",""
"312","ENSG00000126709","IFI6"
"313","ENSG00000009780","FAM76A"
"314","ENSG00000117758","STX12"
"315","ENSG00000117751","PPP1R8"
"316","ENSG00000130775","THEMIS2"
"317","ENSG00000117748","RPA2"
"318","ENSG00000130768","SMPDL3B"
"319","ENSG00000158156","XKR8"
"320","ENSG00000158161","EYA3"
"321","ENSG00000169403","PTAFR"
"322","ENSG00000126698","DNAJC8"
"323","ENSG00000130770","ATP5IF1"
"324","ENSG00000270605",""
"325","ENSG00000130766","SESN2"
"326","ENSG00000130772","MED18"
"327","ENSG00000204138","PHACTR4"
"328","ENSG00000180198","RCC1"
"329","ENSG00000242125","SNHG3"
"330","ENSG00000200087","SNORA73B"
"331","ENSG00000231468","PRDX3P2"
"332","ENSG00000279443",""
"333","ENSG00000180098","TRNAU1AP"
"334","ENSG00000197989","SNHG12"
"335","ENSG00000221539","SNORD99"
"336","ENSG00000120656","TAF12"
"337","ENSG00000188060","RAB42"
"338","ENSG00000229388","LINC01715"
"339","ENSG00000162419","GMEB1"
"340","ENSG00000198492","YTHDF2"
"341","ENSG00000159023","EPB41"
"342","ENSG00000253304","TMEM200B"
"343","ENSG00000116350","SRSF4"
"344","ENSG00000116353","MECR"
"345","ENSG00000060656","PTPRU"
"346","ENSG00000186056","MATN1-AS1"
"347","ENSG00000162511","LAPTM5"
"348","ENSG00000162512","SDC3"
"349","ENSG00000134644","PUM1"
"350","ENSG00000060688","SNRNP40"
"351","ENSG00000121766","ZCCHC17"
"352","ENSG00000121769","FABP3"
"353","ENSG00000168528","SERINC2"
"354","ENSG00000142910","TINAGL1"
"355","ENSG00000162517","PEF1"
"356","ENSG00000084636","COL16A1"
"357","ENSG00000121753","ADGRB2"
"358","ENSG00000134668","SPOCD1"
"359","ENSG00000184007","PTP4A2"
"360","ENSG00000121774","KHDRBS1"
"361","ENSG00000121775","TMEM39B"
"362","ENSG00000025800","KPNA6"
"363","ENSG00000084652","TXLNA"
"364","ENSG00000160050","CCDC28B"
"365","ENSG00000160051","IQCC"
"366","ENSG00000160055","TMEM234"
"367","ENSG00000084623","EIF3I"
"368","ENSG00000220785","MTMR9LP"
"369","ENSG00000116478","HDAC1"
"370","ENSG00000175130","MARCKSL1"
"371","ENSG00000225828","FAM229A"
"372","ENSG00000160058","BSDC1"
"373","ENSG00000160062","ZBTB8A"
"374","ENSG00000176261","ZBTB8OS"
"375","ENSG00000162521","RBBP4"
"376","ENSG00000162520","SYNC"
