"","ensembl_gene_id","hgnc_symbol","chromosome_name","D8R1_1","D8R2_1","D8R3_1","M8R1_1","M8R2_1","M83_18","D24R3_","D24R2_","D24R1_","M24R3_","M24R2_","M24R1_"
"31827","ENSG00000269981","","1",16.5351835648049,12.4944089592098,18.0817634556078,26.0580049534002,25.0189948543179,9.2524088111761,24.3248563213099,17.108668036223,18.301616866927,21.4410631344512,25.6874904472706,31.1230479105896
"32402","ENSG00000279457","WASH9P","1",147.272325867229,67.9591504612319,129.39983692332,142.212084331399,109.258320983188,78.9878593220353,111.662402875711,117.475675883912,112.700596891801,184.707306720769,135.430177080056,117.5662620875
"33446","ENSG00000225630","MTND2P28","1",6301.77913364601,4370.38830773227,6294.12570082653,5211.74152576575,4773.84119647413,5199.03726660868,3982.91721869529,4247.32302517623,3670.50934462744,5313.93026542115,4663.40729269877,4324.14284523213
"33392","ENSG00000237973","MTCO1P12","1",13360.2213963807,7951.14825456758,10908.1459634425,10373.6914390035,8257.97679095773,4680.04960784062,8539.28411689933,9601.86699999795,9509.35158128054,8901.74953984002,11055.7041707908,9325.10181684487
"33463","ENSG00000229344","MTCO2P12","1",99.8345911116605,94.0138706662009,58.2172132473623,95.7107947415997,106.032135361947,64.2166210830329,65.807475583881,36.6988579603816,113.122823288223,143.09516366508,50.0358870717844,118.374074998495
"33444","ENSG00000248527","MTATP6P1","1",15599.8488538269,10790.2886112221,14148.363209019,11847.4714740934,10594.6171865239,11415.3489812533,9985.95689122308,11906.8645874584,9773.97888584073,14525.0059197502,12599.9627166257,11672.1105199862
"33387","ENSG00000198744","MTCO3P12","1",38.0390525450422,35.2211299992498,24.1102353869109,37.772241672226,33.0243190294127,25.8532587380576,21.6621683602168,20.246231292057,31.0210654596567,35.0254735642819,27.7087955550826,48.4791570423516
"33475","ENSG00000228327","","1",31.2925470203971,23.8618877485163,31.0133841801497,47.4883575393123,39.4701001360474,25.3823839007383,25.6849929860004,29.8183264016011,24.6417507921296,36.473583392514,33.2275257777977,39.7763166044403
"33501","ENSG00000237491","LINC01409","1",27.0743592669955,20.4909358203998,38.9207011000188,22.9765552457076,28.3030371126485,34.6101383478572,22.3476347285308,41.5721203514767,33.2753543731309,49.1419644109345,23.596284561937,37.5443369286271
"33403","ENSG00000228794","LINC01128","1",702.494495931704,628.433474122422,682.861160586558,627.513095589247,627.114441388969,579.32294007932,480.725157219033,527.005165622692,459.914276207977,714.554413770298,540.469226542515,505.852711617644
"33460","ENSG00000225880","LINC00115","1",18.7621623514356,13.3493347547955,21.8837781202337,23.8814976422458,24.8443352266267,24.2814375729477,20.1485307704422,20.277366092871,25.3683011207333,36.5414381312618,25.7342648887604,27.0242783901705
"37238","ENSG00000188976","NOC2L","1",4951.28609583276,4366.73368558604,4374.09878314588,5256.40035665585,5149.60968392257,4460.51830907919,4255.56272927397,4130.83261796339,3856.72971099365,5151.96933033522,4295.76426069641,3988.14394827612
"39934","ENSG00000187961","KLHL17","1",755.67989299075,393.271238238582,687.741928633762,1043.96446803203,774.955031153874,681.202150971144,794.192017344041,863.722172025695,786.057841483458,1186.38045995892,881.729879660764,898.538498858764
"40284","ENSG00000187583","PLEKHN1","1",329.237586099001,184.751559018275,217.640011877757,383.910867315473,297.230543298733,260.624959002893,269.245628965772,297.368860851221,293.994750262035,339.396152387033,312.536001276221,324.203754873438
"40275","ENSG00000187642","PERM1","1",69.2743624201588,48.9865766204394,43.4250132980688,77.2389648667371,68.5328143856327,35.397304380471,31.7433522450774,65.1811322131856,60.5986541808572,47.4398512074373,76.8407130097346,53.9602714461213
"40395","ENSG00000272512","","1",10.3653277421909,18.4506589444469,20.5044779390578,21.5212264240962,23.5716840235788,14.3435495594818,28.0459679914202,19.1169230317843,13.7515036131692,34.2710600416248,25.1410622184696,23.7557761877911
"40556","ENSG00000188290","HES4","1",72.5952717155486,50.231115014177,56.8053673739777,114.043561504265,72.2052306832118,94.029758066022,113.276891916749,132.207948463341,104.324366518564,125.914774892277,112.485938446108,132.111257032193
"41599","ENSG00000187608","ISG15","1",2492.47060684073,936.763525453014,1026.59784047843,2951.66604817032,2012.1049420891,1569.6455891498,2062.61614895276,2901.04430406115,2922.44076009924,2597.89477357244,2703.45322529814,2739.01160574116
"43479","ENSG00000188157","AGRN","1",8464.81112547337,3665.30312940891,5339.94751294897,13066.0101534608,8758.00261682467,7353.0633665948,10299.2718020105,12016.4108086432,10338.6323266992,13957.9735042817,12144.24391657,11825.8227277178
"44999","ENSG00000217801","","1",466.210633026846,429.807927058085,418.849068869102,489.484150868434,394.365062089664,405.421969249797,410.40387098312,443.981172774854,422.615693829152,466.258047373714,432.153901539918,435.949062201647
"45024","ENSG00000273443","","1",32.9351463272705,16.5953651910087,24.9710711809303,51.4478074186656,35.0171205724945,35.231826385468,32.1776637107851,32.8439209642263,41.3101851135848,65.2492577302115,44.0379839063083,47.636607373305
"48228","ENSG00000131591","C1orf159","1",478.784431048737,219.814760802252,311.908750395276,724.144172474539,557.29016581817,444.380705701847,483.973433126577,571.560124737863,504.769290837506,585.526757905366,615.185187460608,613.722579179944
"51885","ENSG00000078808","SDF4","1",5223.37347272617,4118.73472173024,4313.17943072759,5400.45011731141,5208.44019166426,5221.55186817671,4976.86724348963,5365.85089674646,5312.67130138687,6835.36962219076,5272.44451582359,5308.03456088049
"51999","ENSG00000176022","B3GALT6","1",974.683599386797,840.785000107071,830.236822280327,1091.23977766963,961.49504533786,886.183784875053,939.050386867406,1031.45605367234,913.438374711897,767.914092462769,1015.57244201028,975.604054762327
"53324","ENSG00000160087","UBE2J2","1",2363.41021035362,1995.8038691806,1853.34821475831,2575.75533630236,2335.13962636222,2403.30505364235,2088.97734668334,2429.59538101845,1961.83616278566,2139.66031688252,2274.25580990315,2109.01925011196
"53790","ENSG00000230415","LINC01786","1",67.3377174565973,31.5650881148452,76.9186600576014,81.5934957801547,77.1806627174615,43.3549782897661,77.4475199367829,77.4363817363725,93.6148429581319,102.048769951254,79.3967193676833,96.6176759689504
"53751","ENSG00000162572","SCNN1D","1",396.506628828956,150.116134980147,301.646051949322,537.047156142592,416.765009796359,338.707587493875,486.021773824056,462.61185550994,466.432363474945,824.727600811471,547.906266362802,596.927714935699
"55391","ENSG00000131584","ACAP3","1",1632.56425490789,890.485637982828,1339.21752933402,2125.852372879,1602.57932005265,1448.81965908235,1807.32134198455,1779.13891870498,1663.60853584873,2355.60534670568,1797.94854473309,1944.04234407886
"55110","ENSG00000169972","PUSL1","1",526.32485446516,347.600598362469,351.311719340901,649.369486207743,596.106293574772,508.081349988786,552.765908642576,627.569873092411,503.242801358018,551.61829934689,539.104925114902,548.822594981497
"55142","ENSG00000127054","INTS11","1",4297.82411371987,3442.14653541599,3593.3519774855,4908.46673560205,4257.23632230048,3706.81352219538,4010.74743644486,4289.08015621295,4132.12352267082,5412.3563437696,4204.08329062189,3968.76261331568
"55117","ENSG00000240731","","1",107.929350484065,136.164949515504,143.569946521021,138.832409465186,133.10530384929,121.138794429148,115.660721800451,93.5055047052886,104.01840615265,113.165412638388,111.549705602003,131.7663885726
"13249","ENSG00000224051","CPTP","1",976.83743644428,574.942123046819,639.209352559653,1265.56914965823,1050.38330884206,953.270336560003,982.915348676545,1216.38944487063,1013.9199163875,986.671508905946,1211.11064259979,1116.42913187433
"13386","ENSG00000169962","TAS1R3","1",34.0886339090072,12.6441387938528,17.8189969684903,46.5621490905432,36.3867381111892,26.6601232210369,49.0223067172176,48.4792385921599,41.1002937639625,89.1866899879654,47.7859001411056,55.9484221114249
"13308","ENSG00000107404","DVL1","1",4263.55631694366,1841.29957061501,2453.07343368724,5276.58135320964,4231.37007988526,3615.22475413249,4067.88082404859,5230.10370456029,4455.01757676439,5779.65196131843,4681.631598217,4808.72053549532
"14315","ENSG00000162576","MXRA8","1",1141.63259612549,812.355344760135,918.531310875135,1405.13418310622,1190.89306905841,962.345462340565,1228.5802448249,1400.34881373977,1335.86265547362,1411.47959381896,1462.82570125801,1344.48053427798
"14399","ENSG00000175756","AURKAIP1","1",2373.17849114433,1746.35333915315,1874.04144591386,2667.56442616429,2392.27185513923,2423.10995743537,2344.34336823989,2939.9280498759,2351.64085733657,2343.9373494509,2603.00296123582,2395.94559347689
"16780","ENSG00000221978","CCNL2","1",4705.02986750464,3538.17885977258,4484.72521553328,4763.55275413814,4491.7991542807,4017.58845841552,3935.28876906352,4131.75544222784,4090.53099657713,4925.81169043429,4566.42340323126,5003.6053437835
"17538","ENSG00000224870","MRPL20-AS1","1",677.778903541503,572.857352302265,654.143837228389,705.255811609779,622.756912690391,582.184602638252,720.871380036349,649.817063547398,725.900020683014,897.322197792164,717.712028479561,704.570663909232
"17544","ENSG00000242485","MRPL20","1",2020.08921640837,2075.67501962025,2060.87882668648,2140.93879243,2189.07264187775,2112.37016735805,1977.98154048467,1896.57893649182,1909.94762511011,1971.09650476629,1997.62408296971,1800.75718922939
"17785","ENSG00000272455","","1",100.118938222936,106.850269410928,130.440509728921,102.898878242135,104.364165849949,91.1144719565742,111.227947584148,93.2699461906791,101.948428688967,149.285738068254,111.421320564308,119.233240133723
"17791","ENSG00000235098","ANKRD65","1",31.097530102431,25.0905108281966,15.4935391022104,33.9052034002112,42.6428112351166,26.6296076203409,47.5809490954889,50.7068886050562,58.8568310416118,48.1211303790887,58.6314138371687,54.2189874483438
"17818","ENSG00000179403","VWA1","1",397.871850095431,197.882890102412,199.152408282978,499.457109296862,380.649738945237,293.235849890794,474.712222126209,710.999616030682,751.728396591994,485.285235803301,691.799663128964,784.041569624419
"18111","ENSG00000215915","ATAD3C","1",37.5032543833871,22.2859298237081,20.5646713703852,42.2625623146108,53.5118637973849,45.4146682615233,31.6056261936209,32.5650110831808,31.0616254571456,51.6199270740936,30.0475208917038,26.3552809855798
"19266","ENSG00000160072","ATAD3B","1",1920.78842370013,1209.71637523083,1451.72577036997,2171.2355820797,1982.52401713717,1663.08128485263,1500.76845867011,1527.08729170144,1393.02337466213,2143.4186014772,1599.83813264735,1683.09212236596
"20346","ENSG00000197785","ATAD3A","1",1809.75507304056,1103.00212985831,1258.877155814,2226.05937694139,2142.59127476604,1781.49008595891,1841.43203187673,2077.22385052969,1620.88641949602,1969.9758299405,1681.47265824883,1636.69409493781
"20562","ENSG00000205090","TMEM240","1",23.8017482340294,5.19523311413076,20.4543928842607,45.0048873344141,20.3061205806113,30.3177540088288,18.0075491312136,29.6610351885645,25.8423191272527,28.8759540640008,28.1613423990443,28.6027586910968
"21174","ENSG00000160075","SSU72","1",5176.70554523984,5112.45457153034,4858.79710151817,4605.96553359053,4659.51128532017,4880.74364945416,4563.70800720851,5148.49798072871,4370.02039406326,3654.1643024461,4494.8243858412,4110.74771993087
"21385","ENSG00000228594","FNDC10","1",226.669517766097,126.492181113351,143.961936713246,289.990258362808,214.5094739084,202.136908306093,315.04547202298,317.28336374987,264.11356751007,237.029904762051,285.337968039347,264.474260045471
"21484","ENSG00000272106","","1",123.677879215845,111.950097463921,129.073699311588,154.218504886206,128.812425931825,103.843261110817,162.759793510589,131.357853997271,130.565349698706,163.429203362667,153.796364217352,144.179354031662
"21500","ENSG00000197530","MIB2","1",700.548632918459,254.510388981912,489.025057643174,969.218856382014,722.041953790768,774.188599289751,872.614534191141,1038.55416450001,918.258333805157,1660.59603718342,1007.35205889787,1034.47213454935
"50874","ENSG00000248333","CDK11B","1",1304.14286418087,1366.41841524236,1286.17415216573,1370.30124937314,1367.09268844151,1522.3732093421,1246.51444929634,1283.71643160742,1183.15198072311,1421.26073062681,1278.13439038548,1286.05274094517
"51370","ENSG00000189339","SLC35E2B","1",1926.2542548775,1603.9456368744,1800.51021801879,2135.09914314658,1926.04293905563,1719.35474286989,2392.3161829679,2401.62887948376,2222.85128800036,2261.95675872719,2424.40955012383,2260.41431577071
"51368","ENSG00000269737","","1",40.2533361887245,21.1642756964803,26.1444802756822,29.1472627028691,23.0069780911704,36.0171906967204,30.6146099743585,28.7157777505856,18.7717662369541,39.5332622448436,33.3703403706122,35.9487258564282
"52391","ENSG00000008128","CDK11A","1",74.6916122235825,47.5473393949249,78.8796577942472,111.919892373039,93.4657470219768,73.5177740983607,94.3048889934691,97.7151851112225,73.3304527188378,132.740279880275,105.126068582286,80.614516816799
"52512","ENSG00000268575","","1",23.2702446639484,16.8341935334986,18.4538006386152,22.777725867572,22.2135397612292,18.6388174844881,34.5171802735396,18.1416848081744,23.1551455845556,23.4815479004611,22.9804141405596,25.0450063486883
"52379","ENSG00000227775","","1",79.1179436261683,45.7388555328681,85.6695990781586,67.8278187299788,59.9449768312504,46.5882851361952,65.3238444766024,95.5594845731891,72.8172766059143,85.4385942097067,76.2880424722865,97.162219000122
"52515","ENSG00000215790","SLC35E2A","1",74.4745447402148,48.7672982538408,61.6227300614483,76.8524404238218,68.3859336112555,47.2940042366345,80.2862894295131,60.2548183198487,67.3601466894421,92.7097404622017,96.9235970310674,69.7242829978134
"53773","ENSG00000008130","NADK","1",3074.73930967321,2489.51114320041,2625.96896146967,3145.6129021758,2838.8954061864,2476.21723712551,2840.58075822342,3116.42788578585,2821.2893560868,3043.90700246438,2848.620298347,2895.3929989929
"54433","ENSG00000078369","GNB1","1",23794.7516624656,24441.9308528149,22535.223928725,22104.063285034,22919.0000321446,23019.5343684644,23484.8371517197,23983.4006398397,23363.185980879,26211.7270868629,23605.5528529494,22344.0788824248
"54767","ENSG00000178821","TMEM52","1",19.1628569903767,13.9351577522772,23.4087365026791,32.0829008663888,34.7815506461686,19.8237459568136,32.4283241192463,25.3999351943229,25.9792070746987,50.9683504504191,28.2226795918103,43.5838963395113
"4521","ENSG00000067606","PRKCZ","1",225.398756907637,212.82311816914,185.877505490988,214.291698492249,196.843258003115,158.073981687799,211.347605532099,209.330472787862,245.202944697988,266.741202042075,207.900454995131,222.593042341002
"4682","ENSG00000182873","PRKCZ-AS1","1",89.0201278901329,69.6971344461391,68.0113737900386,79.9201023213897,76.0478601769881,62.4323838679256,61.6308452684123,88.8244872971172,82.6055972824406,94.2665804660102,81.2904284746028,86.6349185065848
"4686","ENSG00000162585","FAAP20","1",559.565456750789,345.962042819079,414.336848790401,773.274552321348,632.665149183907,537.852830060616,711.632296310429,736.421059173018,679.710391821387,816.82190131315,802.250865554836,707.171773975501
"6516","ENSG00000157933","SKI","1",3539.38681226951,2982.63595471792,3164.93966769143,4020.30364802573,3658.10417665339,3426.34642228628,3554.8463713864,4159.25893903506,3467.34803824406,3001.51103217562,3802.5096506153,3547.02043190419
"6534","ENSG00000116151","MORN1","1",382.697252111566,294.735423257569,304.979251327234,392.999635469878,321.04738140541,286.743987391767,329.320390592889,369.736451204731,336.304962224447,373.645203724925,331.350954735591,356.498080003945
"6574","ENSG00000269896","","1",109.099909110696,72.5932633286579,78.4607038280634,95.3047248757702,79.3865532048543,81.9612246604473,72.4686677508417,91.1115482209549,72.8330673328062,89.0496940796264,69.5161982027782,77.9854877857892
"8443","ENSG00000157916","RER1","1",5277.16961176132,5113.56644648532,5160.81894353386,4832.85109832441,5117.64748688082,5450.22275077972,4509.27003740416,4477.51683874949,4675.48524045826,5537.01813772777,4480.32421627036,4772.39573801234
"8502","ENSG00000157911","PEX10","1",540.922101240834,326.092919476415,372.034662541456,547.135118561289,419.378540213335,425.033916025095,534.614027714903,587.035741536931,498.816063466721,583.069617965323,474.705736758979,524.85699044759
"10279","ENSG00000157881","PANK4","1",372.909269605168,269.925036890897,294.467350882528,348.636776163499,315.317600007319,333.10486500736,383.851696925167,383.365933121359,346.041837707912,374.220920470715,358.053576595354,335.486508293603
"11217","ENSG00000157873","TNFRSF14","1",68.0506796437683,53.3184914950493,50.2781614587222,85.6637915057382,74.6153607816755,70.9366691003839,84.3260019115328,103.851248070942,113.755383435859,104.412990084543,115.248430482015,115.259396573321
"15191","ENSG00000157870","PRXL2B","1",199.955938551592,138.58719887738,165.377821875188,190.974253790164,177.531753406859,191.464200750363,227.155200629275,234.428725437274,203.86186245943,188.860710119533,244.627108407061,228.192161837739
"16991","ENSG00000142611","PRDM16","1",59.1166974967866,29.7205334200618,27.917959655326,48.1897509128467,33.5698180155356,26.696810220288,58.5868533253531,55.1031635511326,75.4807184604857,53.3264114888729,68.3820151728873,80.2408774545222
"20793","ENSG00000130762","ARHGEF16","1",71.3558905972475,34.8574492798938,27.146245682609,84.5278522090932,50.9610340188215,38.0050169033304,34.5571018091362,42.2961962954883,71.4304983162119,58.3391717101665,38.7582361082901,66.1810618532519
"22311","ENSG00000162591","MEGF6","1",107.912522554903,45.820606060716,54.3096205330552,199.899741646948,118.561179487856,63.8101184667117,125.494407549232,178.866469248701,194.185065404705,184.392808846945,186.329511049363,213.359825122675
